스스로, self-care
Number	Korean Title	Age Range
58	칫솔 컵에 넣고 제자리에 놓기	24.5-27.5
59	변기 사용 후 휴지 사용하기 연습	32.5-35.5
60	티슈 접고 닦기 놀이	34.5-37.5
61	집게로 빨래 너는 흉내놀이	35.5-38.5
62	재킷의 지퍼 내리기	36.5-39.5
63	칫솔에 치약 짜기 놀이	36.5-39.5
64	양말 접어 서랍에 넣기	38.5-41.5
65	입었던 옷 앞뒤 구분해서 개기	38.5-41.5
66	대소변 후 속옷 갈아입기	39.5-42.5
67	치약 양 조절해서 칫솔에 짜기	40.5-43.5
68	바지 단추 끼우기 연습	40.5-43.5
69	음식 담긴 접시 들고 자리까지 가기	41.5-44.5
70	양치 후 컵 물로 입 헹구기	41.5-44.5
71	외출 후 옷 벗어 옷걸이에 걸기	41.5-44.5
72	화장실 후 물 내리기	42.5-45.5
73	세탁물 색깔 분류해서 바구니에 담기	43.5-45.5
74	스스로 옷 고르기 놀이	43.5-46.5
75	비누칠 후 손 씻기 순서 지키기	44.5-47.5
76	과일 껍질 쓰레기통에 버리기	44.5-47.5
77	물티슈로 손 닦은 후 접어 버리기	45.5-48.5
78	티셔츠 앞뒤 구분해서 입기	45.5-48.5
79	바지 허리 잡고 올리기	46.5-49.5
80	물컵에 물 따라 마시고 정리하기	47.5-50.5
81	속옷 벗어 빨래통에 넣기	47.5-50.5
82	양말 앞뒤 구분해서 신기	48.5-51.5
83	수건 개서 수건장에 넣기	49.5-52.5
84	밥 먹은 그릇 싱크대에 가져다 놓기	49.5-52.5
85	변기 청소물 내리고 닫기	50.5-53.5
86	빨랫감 색별 분류해서 바구니에 담기	50.5-53.5
87	위아래 단추 있는 셔츠 입기	51.5-54.5
88	머리 빗으로 빗고 제자리에 놓기	51.5-54.5
89	식사 후 냅킨으로 입 닦기	52.5-55.5
90	세면대 주변 물기 닦고 수건 널기	53.5-56.5
91	방바닥에 흘린 물걸레로 닦기	53.5-56.5
92	옷 벗은 후 세탁 바구니로 가져가기	54.5-57.5
93	칫솔 정리함에 자기 칫솔 놓기	55.5-58.5
94	휴지로 콧물 닦고 접어 버리기	55.5-58.5
95	속옷 정리함에 종류별로 정리하기	56.5-59.5
96	신발 벗은 후 신발장에 정리하기	56.5-59.5
97	바지 단추 잠그고 지퍼 올리기	57.5-60.5
98	운동화 끈 묶기 놀이	58.5-61.5
99	간식통 속 재료 정리 후 닫기	59.5-62.5
100	화장실 슬리퍼 방향 맞추기	60.5-63.5
101	우산 정리대에 접고 정리하기	60.5-63.5
102	외출 후 옷 개고 정리함에 넣기	61.5-64.5
103	바르게 변기 청소 후 물 내리기	62.5-65.5
104	수저·젓가락 방향 맞추기 정리	62.5-65.5
105	하루 치 속옷·양말 준비하기	63.5-66.5
106	지퍼 달린 점퍼 입기와 벗기 완성하기	64.5-67.5
107	손 씻기 5단계 순서 카드 만들기	64.5-67.5
108	수건으로 세수 후 물기 닦고 개기	65.5-68.5
109	가족 옷 정리함 라벨 만들고 붙이기	66.5-69.5
110	외출복 단추, 지퍼, 후드까지 입기 완성	66.5-69.5
111	치약 뚜껑 열고 닫고, 양 조절해 짜기	67.5-70.5
112	상 차리기 후 본인 식기 자리 정하기	68.5-71.5
113	여행가방에 필요한 자기 물건 넣기	68.5-71.5
114	후드티·청바지 입기 자기 도전	69.5-72.5
115	비누통 리필 요청 및 도와주기	70.5-73.5
116	휴지 새것 꺼내어 비치하기	70.5-73.5
117	일주일 생활 루틴표 꾸미기	74.5-77.5
